Tên task,mô tả,Loại task,Deadline
Lab 1 PRN212,Hoàn thành bài tập WPF cơ bản (PRN212),Bài tập,2026-08-05 23:59:00
Thiết kế Wireframe,Vẽ wireframe cho dự án WDU203c,Bài tập,2026-08-07 23:59:00
Báo cáo Milestone 1,Báo cáo tiến độ dự án SWP391,Ôn tập,2026-08-10 10:00:00
Tài liệu SRS,Viết tài liệu Software Requirement (SWR302),Bài tập,2026-08-15 23:59:00
Lên Test Plan,Viết kịch bản test cho SWT301,Lịch thi,2026-08-20 09:00:00
Luyện tập C#,Ôn tập các kiến thức .NET cho PRN212,Ôn tập,2026-08-02 23:59:00
Đánh giá UI/UX,Review prototype WDU203c với mentor,Bài tập,2026-08-09 14:00:00
Nộp tiền quỹ lớp,Tiền sinh hoạt lớp tháng 8,Loại Không Hợp Lệ,2026-08-30 23:59:00
Đọc trước giáo trình,Xem trước slide SWR302,Bài tập,Ngày mai hoặc mốt
Tạo Github Repo,,Bài tập,2026-08-11 12:00:00
